Neji uses his Byakugan and observes what's happening inside the caves and sees the Gedo statue and the nine Akatsuki members assembled. Also he observes Gaara's body and tells both the teams what's happening inside. Guy tries to break the big rock covering the cave but is obstructed by a strong Five-Seal Barrier. Kakashi tells them that there are tags attached at five different locations around the area that should be torn off simultaneously to break the barrier. Neji observes the surroundings and pinpoints the locations of the tags.The Akatsuki sends Deidara and Sasori to hold Gaara and attack the group. Team Kakashi and Team Guy sense that the five forbidden tags control the barrier on the cave. Using a wireless radio frequency, both the teams removes the tags simultaneously to disable the barrier, and Sakura destroys the rock before confronting Deidara and Sasori.		
19	Traps Activate! Team Guy's Enemy	
Transcription: "Torappu Sadō! Gai-han no Teki" (Japanese: 罠作動!ガイ班の敵)	July 5, 2007	January 27, 2010[15]
As the barrier tags are removed, the clones of Tenten, Guy, Neji and Lee arises from the ground and attacks them. Team Guy confronts to fight their clones not getting ahead at all. Deidara and Sasori have a strong argument about what is "Art". Deidara angers Naruto by playing with his emotions and challenges him to take back Gaara from him. Naruto angrily demands Deidara to give Gaara back while giving chase with Kakashi. Naruto attacks Deidara who easily dodges it and flings Naruto into a rock. Kakashi, knowing how dangerous his opponent is, relies on his Sharingan. Sakura learns that Sasori is Chiyo's grandson, Chiyo informs Sakura that she may look old but she has a few tricks up her sleeve.		
20	Hiruko vs. Two Kunoichi!	
Transcription: "Hiruko vs. Futari no Kunoichi" (Japanese: ヒルコVS二人の女忍者)	July 19, 2007	February 3, 2010[15]
Chiyo tells Sakura that Sasori is the best human puppeteer who betrayed and left the Hidden Sand. Sensing the real Sasori inside his scorpion puppet Hiruko, Chiyo and Sakura have to dodge his stinging attacks in order to demolish Hiruko and force Sasori to emerge. Chiyo and Sakura expertly dodge Sasori's poison needles. As Chiyo paralyzes Hiruko's scorpion tail, Sakura unleashes her brute strength and breaks the puppet releasing the real Sasori. Deidara sees Naruto's Nine-Tails chakra activating.		
21	Sasori's Real Face	
Transcription: "Sasori no Sugao" (Japanese: サソリの素顔)	July 26, 2007	February 10, 2010[15]
Sasori tells Chiyo and Sakura that he left the Hidden Sand over twenty years ago and now has upgraded himself beyond their wildest imagination. After a short battle, Sasori promises Chiyo that he will not spare her now that she's angered him. Meanwhile, while arriving to the Land of Rivers, Ebizo tells the Hidden Sand's villagers about the Third Kazekage. Sasori summons the Third Kazekage, whom he killed and turned him into a human puppet many years ago, and injures Sakura with a hundred hands that he dispatches from the puppet. Chiyo saves herself and Sakura (using the chakra threads to pull her away) from the pins and needles that Sasori continually shoots at them. Later, the angered Sasori tries to finish off Sakura by releasing a very toxic gas which surrounds her. Outside, Naruto continues to chase Deidara.		
22	Chiyo's Secret Skills	
Transcription: "Chiyo no Oku no Te" (Japanese: チヨの奥の手)	August 2, 2007	February 17, 2010[15]
Sasori uses strong chakra threads to trap Sakura in the toxic gas but she uses an explosive tag to escape. Chiyo summons the puppet versions of Sasori's late parents that he himself modeled after the real ones when he was a child. Chiyo holds down the Kazekage using "The Mother" with a sword and "The Father" with a shuriken staff but Sasori releases the Kazekage's secret technique: Iron Sand. Later, Team Guy exhaust themselves fighting their own clones, while Naruto and Kakashi avoid Deidara's clay bombs. Deidara tries to cut off Kakashi to fight alone with Naruto but is unsuccessful and loses his explosive clay.		
23	Father and Mother	
Transcription: ""Chichi" to "Haha"" (Japanese: 「父」と「母」)	August 2, 2007	February 24, 2010[15]
Using Sasori's parents to protect Sakura from the Third Kazekage's Iron Sand (Chiyo makes a chakra shield and says that she also has made a few upgrades on the puppets) as Chiyo reprimands Sasori for creating the puppet versions of his parents to fake love and uses chakra threads on Sakura into dodging and bringing the sand near Sasori. She tells Sakura that the Third Kazekage's body is real unlike her puppets and that Sasori has the upper hand.		
24	The Third Kazekage	
Transcription: "Sandaime Kazekage" (Japanese: 三代目風影)	August 9, 2007	February 24, 2010[15]
Sakura thinks that she must be of at least some use and offers her body as a puppet to be controlled by Chiyo. Enraged, Sasori sends his Iron Pyramid to crush Sakura but she remembers her strong training with Tsunade and with brute strength fends off Sasori's Iron Sand pyramid and prism that destroys the top of the cave. Sasori accepts that this is definitely more than what he thought of the girl. Outside, Team Guy fights their clones and complains that they aren't getting anywhere. Neji looks in the cave and reports. Sasori creates a large make shifting poisonous iron spikes and paralyzes Sakura, who suddenly gets up and punches the Kazekage puppet and smashes it into pieces. Deidara realizes that he is running low on explosives and needs to separate Kakashi and Naruto.		
25	Three Minutes Between Life and Death	
Transcription: "Sei to Shi no Sanpunkan" (Japanese: 生と死の三分間)	August 16, 2007	March 3, 2010[15]
As Sakura tells Sasori that she created and brought the plant antidote which can convert Sasori's poison into a harmless protein, and that they have three minutes until this antidote's effects wears out. Sasori reveals his own body as a puppet and observes that Sakura also has a good skill as a medical-nin. Sakura goes in for the attack realizing that she has only three minutes of immunity against his poison. Deidara plants small jumping spider explosives between Naruto and Kakashi. Kakashi creates a fake shadow clone and speedily runs away escaping these explosives and reunites with Naruto telling him to calm down and that he has already made a plan. Kakashi reveals that Deidara can only be confronted by a long range attacks. Sasori tells Sakura and Chiyo that he had transformed himself into a human puppet. Deidara and Kakashi prepare to battle.		
26	Puppet Fight: 10 vs. 100!	
Transcription: "Jukki vs Hyakki" (Japanese: 十機vs百機)	August 23, 2007	March 10, 2010[15]
Sasori keeps on attacking Sakura using fire moves, later Sakura pulls his wire and smashes him to pieces. Sasori reforms his body and unleashes a hundred elite puppets. Chiyo counterattacks using ten best puppets from her collection, the Chikamatsu. The great battle of puppets begins and they soon nullify each other. Sakura takes a dog-puppet and smashes it into Sasori, paralyzing his body, but he transfers his heart into another puppet's body and drives a poisonous blade through Sakura's side which was meant for Chiyo.		
27	Impossible Dream	
Transcription: "Kanawanu Yume" (Japanese: 叶わぬ夢)	August 30, 2007	March 17, 2010[15]
Chiyo injects the antidote into the injured Sakura and Sasori's parental puppets stabs him through his heart, apparently killing him. Chiyo informs Sasori that she has her own soul transfer technique (One's Own Life Reincarnation Technique) that can be used to revive a dead person in exchange for the technique user's own life. Before he dies, Sasori praises Sakura and tells her, as a reward, that he has a spy (Kabuto Yakushi) within Orochimaru's ranks, whom he was supposed to meet at the Tenchi Bridge of the Hidden Grass Village ten days later. Kakashi activates his Mangekyo Sharingan and along with Naruto sets the plan against Deidara. Sasori dies while saying that he wouldn't have hesitated killing his own grandmother as he has already killed hundreds and thousands of people.		
28	Beasts: Alive Again!	
Transcription: "Yomigaeru Kemono-tachi" (Japanese: 蘇る獣たち)	September 13, 2007	March 24, 2010[15]
Might Guy, Neji, Lee and Tenten continue to fight their clones. Neji uses his Byakugan and informs Team Guy that Sasori has been killed and Sakura and Chiyo are alive. Team Guy faces difficulty in defeating their opponents. Guy tells them that they have grown weaker in the battle because they are made of flesh and get exhausted after using chakra but the clones can fight as long as possible. Lee tells everybody that the key to defeat the clones is to be more powerful than they were when they released the scroll. Memorizing the training with Guy, the team innovates new moves which are unknown to their clones and successfully takes their clones out. Elsewhere, Naruto tells Kakashi that if their plans go wrong he will not give up and find another way to defeat Deidara. Sakura, realizing that Chiyo has been poisoned tells her to go back to the Hidden Sand for treatment but Chiyo refuses, instead replying that she has yet to complete the most important task.		
29	Kakashi Enlightened!	
Transcription: "Kakashi Kaigan!" (Japanese: カカシ開眼!)	September 27, 2007	March 31, 2010[15]
Kakashi destroys Deidara's arm with Mangekyo Sharingan: Kamui. After Naruto beheads the clay bird with his Rasengan, he sees the dead and lifeless body of Gaara. This causes Naruto to angrily attack Deidara and accidentally uses his Nine-Tails chakra, causing him to transform into the beast with two tails.		
30	Aesthetics of an Instant	
Transcription: "Shunkan no Bigaku" (Japanese: 瞬間の美学)	September 27, 2007	April 7, 2010[15]
Kakashi suppresses the Nine-Tails chakra inside Naruto with the tag that Jiraiya gave him. Team Guy attacks Deidara who apparently self-detonates by ingesting his own clay. Kakashi counters with Kamui and teleports himself and the others to safety. Naruto and friends seemingly mourns for Gaara. However, Chiyo uses her One's Own Life Reincarnation Technique on Gaara.		
31	The Legacy	
Transcription: "Tsugareyukumono" (Japanese: 継がれゆくもの)	October 18, 2007	April 14, 2010[15]
Just before Chiyo dies, she tells Naruto that the Hidden Leaf's and the Hidden Sand's villagers learns from the past and the wisdom of future. A revived Gaara awakens and sees all of the surrounding ninjas rejoicing his revival. Kankuro tells Naruto that Chiyo died saving Gaara and the Hidden Sand villagers mourn for Chiyo.		
32	Return of the Kazekage	
Transcription: "Kazekage no Kikan" (Japanese: 風影の帰還)	October 25, 2007	April 21, 2010[15]
The real Deidara survives to recover his arm and meets with Zetsu and the masked Tobi who keeps Sasori's ring and joins the Akatsuki. Meanwhile, as the Hidden Sand's villagers pay their final respects to Chiyo, Team Kakashi and Team Guy return home to the Hidden Leaf, where an elderly ninja asks Sai to join up with Team Kakashi.		
